seller_id,seller_name,seller_address,seller_email,seller_phone,parent_id
35,Maurise,5271 Jenna Lane,mmccrorie0@geocities.com,725-393-6531,34
5,Sascha,8090 Westend Terrace,scoleiro1@bloglovin.com,903-695-7392,21
58,Maurice,74 Division Parkway,mmacgiffin2@sourceforge.net,654-815-7592,70
68,Bentley,18977 Mcbride Pass,bbeggi3@jigsy.com,412-492-8246,64
22,Orsola,2 Westerfield Hill,owaterson4@bloglines.com,763-523-4674,74
4,Alejoa,267 Mallard Place,afaltskog5@usnews.com,984-979-0845,98
18,Maible,2729 Rieder Lane,mburfield6@narod.ru,129-129-4896,77
61,Saunder,4116 Susan Point,sbaudain7@sina.com.cn,952-981-7071,31
33,Gerri,21 Pankratz Place,gruos8@google.de,215-486-4654,49
63,Filmore,738 Westport Park,fgoreisr9@is.gd,390-445-5207,34
34,Annabel,1309 Arapahoe Terrace,ariddela@360.cn,542-275-9613,87
72,Orv,3 Killdeer Parkway,ovokinsb@walmart.com,756-140-4724,10
29,Rad,688 Grim Terrace,rcrookc@opensource.org,651-779-4502,16
7,Wain,2644 Coleman Way,whernikd@cocolog-nifty.com,208-589-9268,50
41,Rikki,27 Melby Street,rtewkesberrye@reddit.com,261-679-4068,62
54,Winfred,61 Cherokee Alley,wmessittf@cdbaby.com,816-377-6657,45
61,Fredra,49 Westerfield Trail,fmuckeeng@slideshare.net,280-514-3394,42
69,Daryl,9 Jenna Lane,dcanaanh@foxnews.com,335-295-6917,81
41,Burch,8629 Talmadge Terrace,bdenyukini@feedburner.com,254-573-7339,59
98,Vyky,41434 Division Alley,vcheckettsj@cloudflare.com,837-948-5030,41
11,Des,1283 Mcbride Drive,dshuttlek@bravesites.com,822-176-7089,44
71,Janice,90 Cascade Parkway,jorangel@meetup.com,807-371-5932,50
42,Camile,5435 Beilfuss Road,ckoselm@sciencedirect.com,197-788-3818,83
97,Georgine,0932 Cambridge Plaza,gchestertonn@sogou.com,861-341-1676,88
7,Keenan,0906 Bultman Park,ksiviero@csmonitor.com,522-854-3912,14
99,Curtis,45 Nobel Terrace,cdruittp@techcrunch.com,818-107-4369,78
97,Ilka,33470 Russell Court,ibraveryq@mit.edu,320-865-3764,88
66,Prudi,42686 Marquette Circle,pmacgettigenr@admin.ch,230-493-4968,17
